Prodi,Nilai UTBK
Agribisnis,648
Agroteknologi,672
Teknik Kimia,648
Teknik Industri,670
Teknologi Pangan,619
Informatika,677
Sistem Informasi,629
Arsitektur,606
Teknik Lingkungan,648
Teknik Sipil,603
Desain Komunikasi Visual,585
Sains Data,600
Teknik Mesin,585
Ekonomi Pembangunan,604
Manajemen,679
Akuntansi,627
Administrasi Publik,664
Administrasi Bisnis,656
Ilmu Komunikasi,664
Ilmu Hubungan Internasional,612
Hukum,634
Pariwisata,601
